Ranking,Player,Team,Salary
280,Andre Roberson,Oklahoma City Thunder,"$2,183,072"
281,Joe Ingles,Utah Jazz,"$2,150,000"
282,T.J. Warren,Phoenix Suns,"$2,128,920"
283,Rudy Gobert,Utah Jazz,"$2,121,288"
284,Cameron Payne,Oklahoma City Thunder,"$2,112,480"
285,Archie Goodwin,Phoenix Suns,"$2,094,089"
286,Denzel Valentine,Chicago Bulls,"$2,092,200"
287,Tim Frazier,New Orleans Pelicans,"$2,090,000"
288,Kendall Marshall,Philadelphia 76ers,"$2,048,257"
289,Adreian Payne,Minnesota Timberwolves,"$2,022,240"
290,Kelly Oubre Jr.,Washington Wizards,"$2,006,640"
291,Juancho Hernangomez,Denver Nuggets,"$1,987,440"
292,Lucas Nogueira,Toronto Raptors,"$1,921,320"
293,Jusuf Nurkic,Denver Nuggets,"$1,921,320"
294,Terry Rozier,Boston Celtics,"$1,906,440"
295,James Young,Boston Celtics,"$1,825,200"
296,Rashad Vaughn,Milwaukee Bucks,"$1,811,040"
297,Wade Baldwin IV,Memphis Grizzlies,"$1,793,760"
298,Tyler Ennis,Milwaukee Bucks,"$1,733,880"
299,Sam Dekker,Houston Rockets,"$1,720,560"
300,Joffrey Lauvergne,Denver Nuggets,"$1,709,719"
301,Henry Ellenson,Detroit Pistons,"$1,704,120"
302,Gary Harris,Denver Nuggets,"$1,655,880"
303,Jerian Grant,Chicago Bulls,"$1,643,040"
304,Malik Beasley,Denver Nuggets,"$1,627,320"
305,Bruno Caboclo,Toronto Raptors,"$1,589,640"
306,Delon Wright,Toronto Raptors,"$1,577,280"
307,Caris LeVert,Brooklyn Nets,"$1,562,280"
308,David Lee,San Antonio Spurs,"$1,551,659"
309,Dahntay Jones,Cleveland Cavaliers,"$1,551,659"
310,Mitch McGary,Oklahoma City Thunder,"$1,526,040"
311,Justin Anderson,Dallas Mavericks,"$1,514,160"
312,Marcelo Huertas,Los Angeles Lakers,"$1,500,000"
313,DeAndre Bembry,Atlanta Hawks,"$1,499,760"
314,Jordan Adams,Memphis Grizzlies,"$1,465,080"
315,Bobby Portis,Chicago Bulls,"$1,453,680"
316,Demetrius Jackson,Boston Celtics,"$1,450,000"
317,Malachi Richardson,Sacramento Kings,"$1,439,800"
318,Rodney Hood,Utah Jazz,"$1,406,520"
319,Michael Beasley,Houston Rockets,"$1,403,611"
320,Marreese Speights,LA Clippers,"$1,403,611"
321,JaVale McGee,Dallas Mavericks,"$1,403,611"
322,Alonzo Gee,New Orleans Pelicans,"$1,400,000"
323,Rondae Hollis-Jefferson,Brooklyn Nets,"$1,395,600"
324,Deyonta Davis,Memphis Grizzlies,"$1,369,299"
325,Nikola Jokic,Denver Nuggets,"$1,358,500"
326,Shabazz Napier,Portland Trail Blazers,"$1,350,120"
327,Willy Hernangomez,New York Knicks,"$1,350,000"
328,Guillermo Hernangomez,New York Knicks,"$1,350,000"
329,Tyus Jones,Minnesota Timberwolves,"$1,339,680"
330,Sasha Kaun,Philadelphia 76ers,"$1,333,240"
331,Timothe Luwawu-Cabarrot,Philadelphia 76ers,"$1,326,960"
332,Toney Douglas,New Orleans Pelicans,"$1,315,448"
333,Clint Capela,Houston Rockets,"$1,296,240"
334,Jarell Martin,Memphis Grizzlies,"$1,286,160"
335,Brice Johnson,LA Clippers,"$1,273,920"
336,Luke Babbitt,Miami Heat,"$1,227,286"
337,Jeremy Evans,Indiana Pacers,"$1,227,286"
338,Jordan Mickey,Boston Celtics,"$1,223,653"
339,C.J. Wilcox,Orlando Magic,"$1,209,600"
340,Larry Nance Jr.,Los Angeles Lakers,"$1,207,680"
341,R.J. Hunter,Boston Celtics,"$1,200,240"
342,Pascal Siakam,Toronto Raptors,"$1,196,040"
343,Kyle Anderson,San Antonio Spurs,"$1,192,080"
344,Josh Huestis,Oklahoma City Thunder,"$1,191,480"
345,Chris McCullough,Brooklyn Nets,"$1,191,480"
346,Livio Jean-Charles,San Antonio Spurs,"$1,188,840"
347,Skal Labissiere,Sacramento Kings,"$1,188,840"
348,Kevon Looney,Golden State Warriors,"$1,182,840"
349,Dejounte Murray,San Antonio Spurs,"$1,180,080"
350,Damian Jones,Golden State Warriors,"$1,171,560"
351,Isaiah Whitehead,Brooklyn Nets,"$1,074,145"
352,Rakeem Christmas,Indiana Pacers,"$1,052,342"
353,Joe Young,Indiana Pacers,"$1,052,342"
354,Tony Wroten,Memphis Grizzlies,"$1,050,961"
355,John Jenkins,Phoenix Suns,"$1,050,961"
356,Quincy Acy,Dallas Mavericks,"$1,050,961"
357,Glenn Robinson III,Indiana Pacers,"$1,050,500"
358,Montrezl Harrell,Houston Rockets,"$1,045,000"
359,Ivica Zubac,Los Angeles Lakers,"$1,034,956"
360,Richaun Holmes,Philadelphia 76ers,"$1,025,831"
361,Willie Reed,Miami Heat,"$1,015,696"
362,Jeff Withey,Utah Jazz,"$1,015,696"
363,Hollis Thompson,Philadelphia 76ers,"$1,015,696"
364,Robert Covington,Philadelphia 76ers,"$1,015,696"
365,Anthony Bennett,Brooklyn Nets,"$1,015,696"
366,Isaiah Canaan,Chicago Bulls,"$1,015,696"
367,Mike Muscala,Atlanta Hawks,"$1,015,696"
368,Walter Tavares,Atlanta Hawks,"$1,000,000"
369,Beno Udrih,Miami Heat,"$980,431"
370,Anderson Varejao,Golden State Warriors,"$980,431"
371,Marcus Thornton,Washington Wizards,"$980,431"
372,JaMychal Green,Memphis Grizzlies,"$980,431"
373,Brian Roberts,Charlotte Hornets,"$980,431"
374,Devyn Marble,null Unknown,"$980,431"
375,Alan Anderson,LA Clippers,"$980,431"
376,James Jones,Cleveland Cavaliers,"$980,431"
377,JaKarr Sampson,Denver Nuggets,"$980,431"
378,Jarrett Jack,Atlanta Hawks,"$980,431"
379,Stephen Zimmerman Jr.,Orlando Magic,"$950,000"
380,Andrew Harrison,Memphis Grizzlies,"$945,000"
381,Raul Neto,Utah Jazz,"$937,800"
382,Malcolm Brogdon,Milwaukee Bucks,"$925,000"
383,Tyler Ulis,Phoenix Suns,"$918,369"
384,Josh Richardson,Miami Heat,"$874,636"
385,Briante Weber,Miami Heat,"$874,636"
386,Aaron Harrison,Charlotte Hornets,"$874,636"
387,Christian Wood,Charlotte Hornets,"$874,636"
388,Lamar Patterson,Sacramento Kings,"$874,636"
389,Alan Williams,Phoenix Suns,"$874,636"
390,Pat Connaughton,Portland Trail Blazers,"$874,636"
391,Luis Montero,Portland Trail Blazers,"$874,636"
392,Cliff Alexander,Portland Trail Blazers,"$874,636"
393,John Holland,Boston Celtics,"$874,636"
394,Paul Zipser,Chicago Bulls,"$750,000"
395,Michael Gbinije,Detroit Pistons,"$650,000"
396,Georges Niang,Indiana Pacers,"$650,000"
397,A.J. Hammons,Dallas Mavericks,"$650,000"
398,Jake Layman,Portland Trail Blazers,"$600,000"
399,Okaro White,Miami Heat,"$543,471"
400,Stefan Jankovic,Miami Heat,"$543,471"
401,Rodney McGruder,Miami Heat,"$543,471"
402,Maurice Daly Ndour,New York Knicks,"$543,471"
403,Mike Tobey,Charlotte Hornets,"$543,471"
404,Treveon Graham,Charlotte Hornets,"$543,471"
405,Bryn Forbes,San Antonio Spurs,"$543,471"
406,Marshall Plumlee,New York Knicks,"$543,471"
407,Dorian Finney-Smith,Dallas Mavericks,"$543,471"
408,Kyle Collinsworth,Dallas Mavericks,"$543,471"
409,Jameel Warney,Dallas Mavericks,"$543,471"
410,Cheick Diallo,New Orleans Pelicans,"$543,471"
411,Matt Costello,Atlanta Hawks,"$543,471"
